,Country,IDH,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,chegada_turistas,gasto_saude_per_capita,acesso_agua,temp_media,area_floresta,precipitacao
0,NORWAY,0.95,68058.62,5421241.0,15.0,40.0,0.83,5688000.0,7936.38,1.0,1.5,0.33,1414.0
1,SWITZERLAND,0.95,59374.73,8654622.0,219.0,43.0,0.74,10362000.0,9956.26,1.0,5.5,0.32,1537.0
2,IRELAND,0.94,55659.68,4937786.0,72.0,38.0,0.63,10926000.0,4976.86,0.98,9.3,0.11,1118.0
3,GERMANY,0.94,46945.95,83783942.0,240.0,46.0,0.76,38881000.0,5033.45,1.0,8.5,0.33,700.0
4,AUSTRALIA,0.94,44097.02,25499884.0,3.0,38.0,0.86,9246000.0,5331.82,1.0,21.65,0.16,534.0
5,ICELAND,0.94,47566.45,341243.0,3.0,37.0,0.94,2343800.0,6086.31,1.0,1.75,0.01,1940.0
6,SWEDEN,0.94,47955.45,10099265.0,25.0,41.0,0.88,7440000.0,5904.58,1.0,2.1,0.69,624.0
7,NETHERLANDS,0.93,50012.59,17134872.0,508.0,43.0,0.92,18780000.0,4911.44,1.0,9.25,0.11,778.0
8,DENMARK,0.93,48836.09,5792202.0,137.0,42.0,0.88,12749000.0,5800.15,1.0,7.5,0.15,703.0
9,FINLAND,0.93,41779.26,5540720.0,18.0,43.0,0.86,3224000.0,4205.74,1.0,1.7,0.73,536.0
10,CANADA,0.92,43602.25,37742154.0,4.0,41.0,0.81,21134000.0,4754.95,1.0,-5.35,0.38,537.0
11,NEW ZEALAND,0.92,35107.5,4822233.0,18.0,38.0,0.87,3686000.0,3937.22,1.0,10.55,0.39,1732.0
12,UNITED KINGDOM,0.92,39507.29,67886011.0,281.0,40.0,0.83,36316000.0,3858.67,1.0,8.45,0.13,1220.0
13,UNITED STATES,0.92,56140.23,331002651.0,36.0,38.0,0.83,79745920.0,10246.14,0.99,8.55,0.34,715.0
14,BELGIUM,0.92,43820.84,11589623.0,383.0,42.0,0.98,9119000.0,4507.36,1.0,9.55,0.23,847.0
15,JAPAN,0.91,40799.01,126476461.0,347.0,48.0,0.92,31192000.0,4168.99,1.0,11.15,0.68,1668.0
16,AUSTRIA,0.91,46230.57,9006398.0,109.0,43.0,0.57,30816000.0,4939.88,1.0,6.35,0.47,1110.0
17,LUXEMBOURG,0.91,65543.05,625978.0,242.0,40.0,0.88,1018000.0,5782.63,1.0,8.65,0.36,934.0
18,ISRAEL,0.91,33649.69,8655535.0,400.0,30.0,0.93,4121000.0,3144.63,1.0,19.2,0.08,435.0
19,SLOVENIA,0.9,32143.04,2078938.0,103.0,45.0,0.55,4425000.0,1920.28,1.0,8.9,0.62,1162.0
20,SPAIN,0.89,35041.3,46754778.0,94.0,45.0,0.8,82773000.0,2506.46,1.0,13.3,0.37,636.0
21,FRANCE,0.89,40510.78,65273511.0,119.0,42.0,0.82,89322000.0,4379.73,1.0,10.7,0.31,867.0
