pais,IDH,expect_vida,escolaridade_media,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,acesso_eletricidade,chegada_turistas,gasto_saude_per_capita
NORWAY,0.95,82.27,12.57,68058.62,5421241.0,15.0,40.0,0.83,1.0,5688000.0,7936.38
SWITZERLAND,0.95,83.63,13.38,59374.73,8654622.0,219.0,43.0,0.74,1.0,10362000.0,9956.26
IRELAND,0.94,82.1,12.53,55659.68,4937786.0,72.0,38.0,0.63,1.0,10926000.0,4976.86
GERMANY,0.94,81.18,14.13,46945.95,83783942.0,240.0,46.0,0.76,1.0,38881000.0,5033.45
AUSTRALIA,0.94,83.28,12.68,44097.02,25499884.0,3.0,38.0,0.86,1.0,9246000.0,5331.82
ICELAND,0.94,82.86,12.54,47566.45,341243.0,3.0,37.0,0.94,1.0,2343800.0,6086.31
SWEDEN,0.94,82.65,12.43,47955.45,10099265.0,25.0,41.0,0.88,1.0,7440000.0,5904.58
NETHERLANDS,0.93,82.14,12.19,50012.59,17134872.0,508.0,43.0,0.92,1.0,18780000.0,4911.44
DENMARK,0.93,80.78,12.59,48836.09,5792202.0,137.0,42.0,0.88,1.0,12749000.0,5800.15
FINLAND,0.93,81.74,12.44,41779.26,5540720.0,18.0,43.0,0.86,1.0,3224000.0,4205.74
CANADA,0.92,82.32,13.32,43602.25,37742154.0,4.0,41.0,0.81,1.0,21134000.0,4754.95
NEW ZEALAND,0.92,82.14,12.68,35107.5,4822233.0,18.0,38.0,0.87,1.0,3686000.0,3937.22
UNITED KINGDOM,0.92,81.24,12.95,39507.29,67886011.0,281.0,40.0,0.83,1.0,36316000.0,3858.67
UNITED STATES,0.92,78.85,13.41,56140.23,331002651.0,36.0,38.0,0.83,1.0,79745920.0,10246.14
BELGIUM,0.92,81.47,11.78,43820.84,11589623.0,383.0,42.0,0.98,1.0,9119000.0,4507.36
JAPAN,0.91,84.47,12.8,40799.01,126476461.0,347.0,48.0,0.92,1.0,31192000.0,4168.99
AUSTRIA,0.91,81.43,12.56,46230.57,9006398.0,109.0,43.0,0.57,1.0,30816000.0,4939.88
LUXEMBOURG,0.91,82.1,12.2,65543.05,625978.0,242.0,40.0,0.88,1.0,1018000.0,5782.63
ISRAEL,0.91,82.82,12.96,33649.69,8655535.0,400.0,30.0,0.93,1.0,4121000.0,3144.63
SLOVENIA,0.9,81.17,12.27,32143.04,2078938.0,103.0,45.0,0.55,1.0,4425000.0,1920.28
SPAIN,0.89,83.43,9.82,35041.3,46754778.0,94.0,45.0,0.8,1.0,82773000.0,2506.46
FRANCE,0.89,82.54,11.42,40510.78,65273511.0,119.0,42.0,0.82,1.0,89322000.0,4379.73
MALTA,0.89,82.38,11.29,34795.18,441543.0,1380.0,43.0,0.93,1.0,2599000.0,2585.56
ITALY,0.88,83.35,10.25,36141.43,60461826.0,206.0,47.0,0.69,1.0,61567200.0,2840.13
ESTONIA,0.88,78.57,13.03,30378.63,1326535.0,31.0,42.0,0.68,1.0,3234000.0,1300.48
CYPRUS,0.87,80.83,12.1,33100.32,1207359.0,131.0,37.0,0.67,1.0,3939000.0,1731.69
GREECE,0.87,82.07,10.54,24909.34,10423054.0,81.0,46.0,0.85,1.0,30123000.0,1516.59
POLAND,0.87,78.54,12.29,27625.8,37846611.0,124.0,42.0,0.6,1.0,19622000.0,906.82
LITHUANIA,0.87,75.74,12.96,29775.26,2722289.0,43.0,45.0,0.71,1.0,2825000.0,1078.18
UNITED ARAB EMIRATES,0.87,77.81,10.95,66911.66,9890402.0,118.0,33.0,0.86,1.0,21286000.0,1357.02
SAUDI ARABIA,0.86,75.0,9.67,49338.41,34813871.0,16.0,32.0,0.84,1.0,15334000.0,1093.41
LATVIA,0.85,75.17,12.83,26300.77,1886198.0,30.0,44.0,0.69,1.0,1946000.0,930.35
PORTUGAL,0.85,81.86,9.19,27935.38,10196709.0,111.0,46.0,0.66,1.0,16186000.0,1908.03
