pais,IDH,expect_vida,escolaridade_media,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,acesso_eletricidade,chegada_turistas,gasto_saude_per_capita,acesso_agua,temp_media,area_floresta,precipitacao
NORWAY,0.95,82.27,12.57,68058.62,5421241.0,15.0,40.0,0.83,1.0,5688000.0,7936.38,1.0,1.5,0.33,1414.0
SWITZERLAND,0.95,83.63,13.38,59374.73,8654622.0,219.0,43.0,0.74,1.0,10362000.0,9956.26,1.0,5.5,0.32,1537.0
IRELAND,0.94,82.1,12.53,55659.68,4937786.0,72.0,38.0,0.63,1.0,10926000.0,4976.86,0.98,9.3,0.11,1118.0
GERMANY,0.94,81.18,14.13,46945.95,83783942.0,240.0,46.0,0.76,1.0,38881000.0,5033.45,1.0,8.5,0.33,700.0
AUSTRALIA,0.94,83.28,12.68,44097.02,25499884.0,3.0,38.0,0.86,1.0,9246000.0,5331.82,1.0,21.65,0.16,534.0
ICELAND,0.94,82.86,12.54,47566.45,341243.0,3.0,37.0,0.94,1.0,2343800.0,6086.31,1.0,1.75,0.01,1940.0
SWEDEN,0.94,82.65,12.43,47955.45,10099265.0,25.0,41.0,0.88,1.0,7440000.0,5904.58,1.0,2.1,0.69,624.0
NETHERLANDS,0.93,82.14,12.19,50012.59,17134872.0,508.0,43.0,0.92,1.0,18780000.0,4911.44,1.0,9.25,0.11,778.0
DENMARK,0.93,80.78,12.59,48836.09,5792202.0,137.0,42.0,0.88,1.0,12749000.0,5800.15,1.0,7.5,0.15,703.0
FINLAND,0.93,81.74,12.44,41779.26,5540720.0,18.0,43.0,0.86,1.0,3224000.0,4205.74,1.0,1.7,0.73,536.0
CANADA,0.92,82.32,13.32,43602.25,37742154.0,4.0,41.0,0.81,1.0,21134000.0,4754.95,1.0,-5.35,0.38,537.0
NEW ZEALAND,0.92,82.14,12.68,35107.5,4822233.0,18.0,38.0,0.87,1.0,3686000.0,3937.22,1.0,10.55,0.39,1732.0
